"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"02.2D","GO:0071214","cellular response to abiotic stimulus","5/41","198/21869",3.32593696915813e-05,0.00630265055655466,0.00463880682540476,"AT2G21970/AT2G42690/AT4G38740/AT5G47910/AT5G55630",5
"02.2D","GO:0104004","cellular response to environmental stimulus","5/41","198/21869",3.32593696915813e-05,0.00630265055655466,0.00463880682540476,"AT2G21970/AT2G42690/AT4G38740/AT5G47910/AT5G55630",5
"02.2D","GO:0055062","phosphate ion homeostasis","2/41","19/21869",0.000574680389564996,0.0418828830881167,0.0308261741934479,"AT4G17550/AT5G42810",2
"02.2D","GO:0072506","trivalent inorganic anion homeostasis","2/41","19/21869",0.000574680389564996,0.0418828830881167,0.0308261741934479,"AT4G17550/AT5G42810",2
"02.2D","GO:0098659","inorganic cation import across plasma membrane","2/41","21/21869",0.000704073940781799,0.0418828830881167,0.0308261741934479,"AT1G18910/AT5G55630",2
"02.2D","GO:0099587","inorganic ion import across plasma membrane","2/41","22/21869",0.000773562484477089,0.0418828830881167,0.0308261741934479,"AT1G18910/AT5G55630",2
"02.2D","GO:0045492","xylan biosynthetic process","2/41","40/21869",0.00255686773297986,0.0570031100470217,0.041954795618555,"AT5G01620/AT5G67230",2
"02.2D","GO:0009910","negative regulation of flower development","2/41","49/21869",0.00381411178847032,0.0803082426572362,0.0591075803476394,"AT1G61040/AT1G79280",2
"02.2D","GO:1901606","alpha-amino acid catabolic process","2/41","68/21869",0.00722414828471239,0.10951808799624,0.0806062861241593,"AT2G16500/AT3G53260",2
"02.2D","GO:2000242","negative regulation of reproductive process","2/41","76/21869",0.00895318971455212,0.125676255622787,0.0924988411055093,"AT1G61040/AT1G79280",2
"02.2D","GO:0009611","response to wounding","3/41","243/21869",0.0105851398160531,0.131964296637185,0.0971268951780418,"AT2G21970/AT5G47910/AT3G53260",3
"02.2D","GO:0046165","alcohol biosynthetic process","2/41","84/21869",0.0108483635862639,0.131964296637185,0.0971268951780418,"AT5G58770/AT5G42810",2
"02.2D","GO:0016973","poly(A)+ mRNA export from nucleus","1/41","13/21869",0.0241066553081957,0.159239646296117,0.1172017949409,"AT1G79280",1
"02.2D","GO:0032506","cytokinetic process","1/41","13/21869",0.0241066553081957,0.159239646296117,0.1172017949409,"AT2G26180",1
"02.2D","GO:0006596","polyamine biosynthetic process","1/41","14/21869",0.0259373483504891,0.163142450889055,0.120074293808081,"AT2G16500",1
"02.2D","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/41","19/21869",0.035040673748126,0.163142450889055,0.120074293808081,"AT1G80750",1
"02.2D","GO:0051246","regulation of protein metabolic process","3/41","402/21869",0.0392880647751416,0.163142450889055,0.120074293808081,"AT1G74310/AT4G38740/AT1G79280",3
"02.2D","GO:0002097","tRNA wobble base modification","1/41","22/21869",0.0404627714606098,0.163142450889055,0.120074293808081,"AT1G68720",1
"02.2D","GO:0003013","circulatory system process","1/41","22/21869",0.0404627714606098,0.163142450889055,0.120074293808081,"AT5G62680",1
"02.2D","GO:0003018","vascular process in circulatory system","1/41","22/21869",0.0404627714606098,0.163142450889055,0.120074293808081,"AT5G62680",1
"02.2D","GO:0010232","vascular transport","1/41","22/21869",0.0404627714606098,0.163142450889055,0.120074293808081,"AT5G62680",1
"02.2D","GO:0010233","phloem transport","1/41","22/21869",0.0404627714606098,0.163142450889055,0.120074293808081,"AT5G62680",1
"02.2D","GO:0010039","response to iron ion","1/41","24/21869",0.0440609780504285,0.163716771383455,0.120496998796322,"AT1G18910",1
"02.2D","GO:0051260","protein homooligomerization","1/41","28/21869",0.0512179427112119,0.164765120135011,0.121268592794828,"AT5G28750",1
"02.2D","GO:0043069","negative regulation of programmed cell death","1/41","29/21869",0.0529989996384973,0.164765120135011,0.121268592794828,"AT5G47910",1
"02.2D","GO:0060968","regulation of gene silencing","1/41","38/21869",0.0688824184875704,0.18673790508452,0.137440757804187,"AT1G79280",1
"02.2D","GO:0071456","cellular response to hypoxia","2/41","242/21869",0.075469022136954,0.18673790508452,0.137440757804187,"AT1G74310/AT5G47910",2
"02.2D","GO:0036294","cellular response to decreased oxygen levels","2/41","244/21869",0.0765471830144229,0.18673790508452,0.137440757804187,"AT1G74310/AT5G47910",2
"02.2D","GO:0050832","defense response to fungus","2/41","260/21869",0.0853473760429584,0.194859370604104,0.143418228607381,"AT5G47910/AT5G42810",2
"02.2D","GO:0061024","membrane organization","2/41","266/21869",0.0887243749256904,0.200157964862123,0.147318041073358,"AT5G58770/AT5G28750",2
"02.2D","GO:0140053","mitochondrial gene expression","1/41","55/21869",0.0981783770154169,0.206720027160239,0.152147777246114,"AT3G02760",1
"02.2D","GO:0071166","ribonucleoprotein complex localization","1/41","58/21869",0.103254051892731,0.20948500970408,0.154182828972591,"AT1G79280",1
"02.2D","GO:0009740","gibberellic acid mediated signaling pathway","1/41","60/21869",0.106622340235976,0.20948500970408,0.154182828972591,"AT2G36830",1
"02.2D","GO:0010476","gibberellin mediated signaling pathway","1/41","62/21869",0.109978284319958,0.20948500970408,0.154182828972591,"AT2G36830",1
"02.2D","GO:0031503","protein-containing complex localization","1/41","69/21869",0.121627513066927,0.221619362751757,0.163113820661618,"AT1G79280",1
"02.2D","GO:0009744","response to sucrose","1/41","72/21869",0.126574379435563,0.224246618662447,0.165047504362029,"AT2G30470",1
"02.2D","GO:0034285","response to disaccharide","1/41","74/21869",0.129857178975829,0.224246618662447,0.165047504362029,"AT2G30470",1
"02.2D","GO:1905393","plant organ formation","1/41","129/21869",0.215562268926752,0.291778928297282,0.214751884457102,"AT2G20300",1
"02.2D","GO:0043413","macromolecule glycosylation","1/41","165/21869",0.267139775257584,0.331954015811884,0.244321105930146,"AT5G58770",1
"02.2D","GO:0009267","cellular response to starvation","1/41","167/21869",0.269906046885561,0.332124648602687,0.244446693180703,"AT1G18910",1
"02.2D","GO:0044550","secondary metabolite biosynthetic process","1/41","174/21869",0.279508007663324,0.340622298727974,0.250701039197092,"AT3G53260",1
"02.2D","GO:0071695","anatomical structure maturation","1/41","212/21869",0.329521825607018,0.384273144323261,0.282828449508857,"AT2G30470",1
"02.2D","GO:0048609","multicellular organismal reproductive process","1/41","213/21869",0.33079114292475,0.384570071068957,0.283046990232672,"AT2G30470",1
"02.2D","GO:0090558","plant epidermis development","1/41","289/21869",0.420698310621194,0.450314914151873,0.331435779059149,"AT2G20300",1
"02.2G","GO:0042594","response to starvation","4/60","204/21869",0.00238410125414293,0.288275216193564,0.264373521988618,"AT1G08190/AT5G49660/AT2G33770/AT5G38480",4
"02.2G","GO:0071496","cellular response to external stimulus","4/60","229/21869",0.00361025287892375,0.288275216193564,0.264373521988618,"AT1G08190/AT2G33770/AT5G38480/AT5G55860",4
"02.2G","GO:0031667","response to nutrient levels","4/60","236/21869",0.0040181440307082,0.288275216193564,0.264373521988618,"AT1G08190/AT5G49660/AT2G33770/AT5G38480",4
"02.2G","GO:0009991","response to extracellular stimulus","4/60","276/21869",0.00695800227941395,0.288275216193564,0.264373521988618,"AT1G08190/AT5G49660/AT2G33770/AT5G38480",4
"02.2G","GO:0000470","maturation of LSU-rRNA","2/60","46/21869",0.00708962628669961,0.288275216193564,0.264373521988618,"AT2G27530/AT4G27010",2
"02.2G","GO:0009267","cellular response to starvation","3/60","167/21869",0.0108866108663357,0.288275216193564,0.264373521988618,"AT1G08190/AT2G33770/AT5G38480",3
"02.2G","GO:0031669","cellular response to nutrient levels","3/60","184/21869",0.0141164883470483,0.288275216193564,0.264373521988618,"AT1G08190/AT2G33770/AT5G38480",3
"02.2G","GO:0016036","cellular response to phosphate starvation","2/60","80/21869",0.0203956845881748,0.288275216193564,0.264373521988618,"AT2G33770/AT5G38480",2
"02.2G","GO:0034470","ncRNA processing","4/60","390/21869",0.0221934224227041,0.288275216193564,0.264373521988618,"AT2G27530/AT4G27010/AT2G33730/AT3G19810",4
"02.2G","GO:0031668","cellular response to extracellular stimulus","3/60","223/21869",0.0233865550035808,0.288275216193564,0.264373521988618,"AT1G08190/AT2G33770/AT5G38480",3
"02.2G","GO:0048582","positive regulation of post-embryonic development","2/60","87/21869",0.0238529500029975,0.288275216193564,0.264373521988618,"AT5G49660/AT1G21920",2
"02.2G","GO:0046578","regulation of Ras protein signal transduction","1/60","10/21869",0.0271053396786961,0.288275216193564,0.264373521988618,"AT4G38200",1
"02.2G","GO:0051056","regulation of small GTPase mediated signal transduction","1/60","10/21869",0.0271053396786961,0.288275216193564,0.264373521988618,"AT4G38200",1
"02.2G","GO:0090548","response to nitrate starvation","1/60","10/21869",0.0271053396786961,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0042273","ribosomal large subunit biogenesis","2/60","95/21869",0.0280757534563205,0.288275216193564,0.264373521988618,"AT2G27530/AT4G27010",2
"02.2G","GO:0031053","primary miRNA processing","1/60","11/21869",0.0297758040009104,0.288275216193564,0.264373521988618,"AT2G33730",1
"02.2G","GO:1903959","regulation of anion transmembrane transport","1/60","11/21869",0.0297758040009104,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:0051240","positive regulation of multicellular organismal process","2/60","104/21869",0.0331560017215198,0.288275216193564,0.264373521988618,"AT5G49660/AT1G21920",2
"02.2G","GO:0006364","rRNA processing","3/60","258/21869",0.0339384321681599,0.288275216193564,0.264373521988618,"AT2G27530/AT4G27010/AT3G19810",3
"02.2G","GO:0007265","Ras protein signal transduction","1/60","13/21869",0.0350951270963946,0.288275216193564,0.264373521988618,"AT4G38200",1
"02.2G","GO:0051785","positive regulation of nuclear division","1/60","13/21869",0.0350951270963946,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:1901992","positive regulation of mitotic cell cycle phase transition","1/60","13/21869",0.0350951270963946,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0015698","inorganic anion transport","2/60","110/21869",0.0367275579650441,0.288275216193564,0.264373521988618,"AT5G49660/AT2G33770",2
"02.2G","GO:0010072","primary shoot apical meristem specification","1/60","14/21869",0.0377440240754487,0.288275216193564,0.264373521988618,"AT3G15880",1
"02.2G","GO:0044070","regulation of anion transport","1/60","14/21869",0.0377440240754487,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:1901141","regulation of lignin biosynthetic process","1/60","14/21869",0.0377440240754487,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:1901989","positive regulation of cell cycle phase transition","1/60","14/21869",0.0377440240754487,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:1902025","nitrate import","1/60","14/21869",0.0377440240754487,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0016050","vesicle organization","2/60","112/21869",0.0379497443703878,0.288275216193564,0.264373521988618,"AT1G08190/AT4G32285",2
"02.2G","GO:0016072","rRNA metabolic process","3/60","270/21869",0.0380389378175426,0.288275216193564,0.264373521988618,"AT2G27530/AT4G27010/AT3G19810",3
"02.2G","GO:0034660","ncRNA metabolic process","4/60","470/21869",0.0399977612264133,0.288275216193564,0.264373521988618,"AT2G27530/AT4G27010/AT2G33730/AT3G19810",4
"02.2G","GO:0031540","regulation of anthocyanin biosynthetic process","1/60","15/21869",0.0403857700628877,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0045931","positive regulation of mitotic cell cycle","1/60","15/21869",0.0403857700628877,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0080113","regulation of seed growth","1/60","15/21869",0.0403857700628877,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0009938","negative regulation of gibberellic acid mediated signaling pathway","1/60","16/21869",0.0430203840372734,0.288275216193564,0.264373521988618,"AT3G15880",1
"02.2G","GO:0035435","phosphate ion transmembrane transport","1/60","16/21869",0.0430203840372734,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:0080186","developmental vegetative growth","1/60","16/21869",0.0430203840372734,0.288275216193564,0.264373521988618,"AT5G08450",1
"02.2G","GO:0060918","auxin transport","2/60","123/21869",0.0449434263591393,0.288275216193564,0.264373521988618,"AT2G19620/AT5G12050",2
"02.2G","GO:0048268","clathrin coat assembly","1/60","17/21869",0.0456478849276666,0.288275216193564,0.264373521988618,"AT4G32285",1
"02.2G","GO:0009914","hormone transport","2/60","126/21869",0.0469278324517416,0.288275216193564,0.264373521988618,"AT2G19620/AT5G12050",2
"02.2G","GO:0051049","regulation of transport","2/60","126/21869",0.0469278324517416,0.288275216193564,0.264373521988618,"AT2G19620/AT2G33770",2
"02.2G","GO:0008544","epidermis development","1/60","18/21869",0.0482682916137518,0.288275216193564,0.264373521988618,"AT3G44200",1
"02.2G","GO:0009913","epidermal cell differentiation","1/60","18/21869",0.0482682916137518,0.288275216193564,0.264373521988618,"AT3G44200",1
"02.2G","GO:0030855","epithelial cell differentiation","1/60","18/21869",0.0482682916137518,0.288275216193564,0.264373521988618,"AT3G44200",1
"02.2G","GO:0060147","regulation of posttranscriptional gene silencing","1/60","18/21869",0.0482682916137518,0.288275216193564,0.264373521988618,"AT2G33730",1
"02.2G","GO:0080112","seed growth","1/60","18/21869",0.0482682916137518,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0010087","phloem or xylem histogenesis","2/60","128/21869",0.0482684699957689,0.288275216193564,0.264373521988618,"AT1G78770/AT5G13290",2
"02.2G","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/60","19/21869",0.0508816229259659,0.288275216193564,0.264373521988618,"AT4G27010",1
"02.2G","GO:0002238","response to molecule of fungal origin","1/60","19/21869",0.0508816229259659,0.288275216193564,0.264373521988618,"AT4G27320",1
"02.2G","GO:0055062","phosphate ion homeostasis","1/60","19/21869",0.0508816229259659,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:0072506","trivalent inorganic anion homeostasis","1/60","19/21869",0.0508816229259659,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:0060966","regulation of gene silencing by RNA","1/60","20/21869",0.0534878976456195,0.288275216193564,0.264373521988618,"AT2G33730",1
"02.2G","GO:0090421","embryonic meristem initiation","1/60","20/21869",0.0534878976456195,0.288275216193564,0.264373521988618,"AT3G15880",1
"02.2G","GO:0051094","positive regulation of developmental process","2/60","137/21869",0.0544711508789445,0.288275216193564,0.264373521988618,"AT5G49660/AT1G21920",2
"02.2G","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/60","21/21869",0.05608713450503,0.288275216193564,0.264373521988618,"AT4G27010",1
"02.2G","GO:0009612","response to mechanical stimulus","1/60","21/21869",0.05608713450503,0.288275216193564,0.264373521988618,"AT5G55860",1
"02.2G","GO:0030071","regulation of mitotic metaphase/anaphase transition","1/60","21/21869",0.05608713450503,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0060429","epithelium development","1/60","21/21869",0.05608713450503,0.288275216193564,0.264373521988618,"AT3G44200",1
